SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
866,Polk County,Iowa,151,"443,710","Des Moines-West Des Moines, IA Metropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
867,Pottawattamie County,Iowa,621,"92,913","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area","Omaha-Council Bluffs-Fremont, NE-IA Combined Statistical Area"
868,Poweshiek County,Iowa,1887,"18,736",,
869,Ringgold County,Iowa,2833,"5,096",,
870,Sac County,Iowa,2430,"10,153",,
871,Scott County,Iowa,367,"168,799","Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area","Davenport-Moline, IA-IL Combined Statistical Area"
872,Shelby County,Iowa,2296,"12,069",,
873,Sioux County,Iowa,1320,"34,268",,
874,Story County,Iowa,632,"91,140","Ames, IA Metropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
875,Tama County,Iowa,1948,"17,536",,
876,Taylor County,Iowa,2744,"6,208",,
877,Union County,Iowa,2267,"12,594",,
878,Van Buren County,Iowa,2646,"7,449",,
879,Wapello County,Iowa,1293,"35,366","Ottumwa, IA Micropolitan Statistical Area",
880,Warren County,Iowa,1029,"46,891","Des Moines-West Des Moines, IA Metropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
881,Washington County,Iowa,1736,"21,914","Iowa City, IA Metropolitan Statistical Area","Cedar Rapids-Iowa City, IA Combined Statistical Area"
882,Wayne County,Iowa,2736,"6,344",,
883,Webster County,Iowa,1241,"37,273","Fort Dodge, IA Micropolitan Statistical Area",
884,Winnebago County,Iowa,2390,"10,600",,
885,Winneshiek County,Iowa,1778,"21,061",,
886,Woodbury County,Iowa,571,"102,323","Sioux City, IA-NE-SD Metropolitan Statistical Area","Sioux City-Vermillion, IA-SD-NE Combined Statistical Area"
887,Worth County,Iowa,2641,"7,519","Mason City, IA Micropolitan Statistical Area",
888,Wright County,Iowa,2240,"12,991",,
889,Allen County,Kansas,2223,"13,319",,
890,Anderson County,Kansas,2605,"7,917",,
891,Atchison County,Kansas,1994,"16,813","Atchison, KS Micropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
892,Barber County,Kansas,2847,"4,861",,
893,Barton County,Kansas,1511,"27,557","Great Bend, KS Micropolitan Statistical Area",
