SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
1005,Bracken County,Kentucky,2564,"8,494","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1006,Breathitt County,Kentucky,2205,"13,635",,
1007,Breckinridge County,Kentucky,1837,"20,071",,
1008,Bullitt County,Kentucky,721,"75,896","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1009,Butler County,Kentucky,2250,"12,840","Bowling Green, KY Metropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
1010,Caldwell County,Kentucky,2247,"12,935",,
1011,Calloway County,Kentucky,1228,"37,655","Murray, KY Micropolitan Statistical Area",
1012,Campbell County,Kentucky,633,"90,908","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1013,Carlisle County,Kentucky,2835,"5,034",,
1014,Carroll County,Kentucky,2367,"10,900",,
1015,Carter County,Kentucky,1517,"27,348",,
1016,Casey County,Kentucky,2041,"16,082",,
1017,Christian County,Kentucky,726,"75,427","Clarksville, TN-KY Metropolitan Statistical Area",
1018,Clark County,Kentucky,1282,"35,787","Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1019,Clay County,Kentucky,1751,"21,556",,
1020,Clinton County,Kentucky,2417,"10,285",,
1021,Crittenden County,Kentucky,2495,"9,280",,
1022,Cumberland County,Kentucky,2698,"6,819",,
1023,Daviess County,Kentucky,599,"97,847","Owensboro, KY Metropolitan Statistical Area",
1024,Edmonson County,Kentucky,2294,"12,071","Bowling Green, KY Metropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
1025,Elliott County,Kentucky,2618,"7,780",,
1026,Estill County,Kentucky,2140,"14,493",,
1027,Fayette County,Kentucky,211,"305,489","Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1028,Fleming County,Kentucky,2136,"14,560",,
1029,Floyd County,Kentucky,1197,"38,949",,
1030,Franklin County,Kentucky,984,"49,804","Frankfort, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1031,Fulton County,Kentucky,2720,"6,525","Union City, TN-KY Micropolitan Statistical Area","Martin-Union City, TN-KY Combined Statistical Area"
1032,Gallatin County,Kentucky,2566,"8,479","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1033,Garrard County,Kentucky,1989,"16,913",,
1034,Grant County,Kentucky,1621,"24,485","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1035,Graves County,Kentucky,1230,"37,544","Mayfield, KY Micropolitan Statistical Area","Paducah-Mayfield, KY-IL Combined Statistical Area"
1036,Grayson County,Kentucky,1565,"25,964",,
1037,Green County,Kentucky,2338,"11,315",,
1038,Greenup County,Kentucky,1255,"36,707","Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area","Charleston-Huntington-Ashland, WV-OH-KY Combined Statistical Area"
1039,Hancock County,Kentucky,2552,"8,677","Owensboro, KY Metropolitan Statistical Area",
1040,Hardin County,Kentucky,556,"107,025","Elizabethtown-Fort Knox, KY Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1041,Harlan County,Kentucky,1466,"28,543",,
1042,Harrison County,Kentucky,1892,"18,624",,
1043,Hart County,Kentucky,1904,"18,366",,
1044,Henderson County,Kentucky,1040,"46,513","Evansville, IN-KY Metropolitan Statistical Area",
1045,Henry County,Kentucky,2087,"15,318","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1046,Hickman County,Kentucky,2856,"4,754",,
1047,Hopkins County,Kentucky,1035,"46,718","Madisonville, KY Micropolitan Statistical Area",
1048,Jackson County,Kentucky,2222,"13,331",,
1049,Jefferson County,Kentucky,78,"750,828","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1050,Jessamine County,Kentucky,988,"49,635","Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1051,Johnson County,Kentucky,1669,"23,383",,
1052,Kenton County,Kentucky,388,"161,711","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1053,Knott County,Kentucky,2037,"16,124",,
1054,Knox County,Kentucky,1396,"31,735","London, KY Micropolitan Statistical Area",
1055,Larue County,Kentucky,2165,"14,151","Elizabethtown-Fort Knox, KY Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1056,Laurel County,Kentucky,870,"59,462","London, KY Micropolitan Statistical Area",
1057,Lawrence County,Kentucky,2053,"15,848",,
1058,Lee County,Kentucky,2626,"7,706",,
1059,Leslie County,Kentucky,2349,"11,170",,
1060,Letcher County,Kentucky,1646,"23,952",,
1061,Lewis County,Kentucky,2185,"13,835",,
1062,Lincoln County,Kentucky,1626,"24,461","Danville, KY Micropolitan Statistical Area",
1063,Livingston County,Kentucky,2479,"9,423","Paducah, KY-IL Micropolitan Statistical Area","Paducah-Mayfield, KY-IL Combined Statistical Area"
1064,Logan County,Kentucky,1541,"26,646",,
1065,Lyon County,Kentucky,2574,"8,351",,
1066,McCracken County,Kentucky,806,"65,549","Paducah, KY-IL Micropolitan Statistical Area","Paducah-Mayfield, KY-IL Combined Statistical Area"
1067,McCreary County,Kentucky,1917,"18,069",,
1068,McLean County,Kentucky,2472,"9,506","Owensboro, KY Metropolitan Statistical Area",
1069,Madison County,Kentucky,664,"84,786","Richmond-Berea, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1070,Magoffin County,Kentucky,2238,"13,041",,
1071,Marion County,Kentucky,1836,"20,090",,
1072,Marshall County,Kentucky,1406,"31,344",,
1073,Martin County,Kentucky,2257,"12,743",,
1074,Mason County,Kentucky,1951,"17,512","Maysville, KY Micropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1075,Meade County,Kentucky,1444,"29,237","Elizabethtown-Fort Knox, KY Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1076,Menifee County,Kentucky,2743,"6,220","Mount Sterling, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1077,Mercer County,Kentucky,1771,"21,261",,
1078,Metcalfe County,Kentucky,2446,"9,969","Glasgow, KY Micropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
1079,Monroe County,Kentucky,2372,"10,821",,
1080,Montgomery County,Kentucky,1533,"26,902","Mount Sterling, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1081,Morgan County,Kentucky,2200,"13,668",,
1082,Muhlenberg County,Kentucky,1408,"31,181",,
1083,Nelson County,Kentucky,1080,"44,319","Bardstown, KY Micropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1084,Nicholas County,Kentucky,2683,"7,000",,
1085,Ohio County,Kentucky,1641,"24,075",,
1086,Oldham County,Kentucky,847,"61,412","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1087,Owen County,Kentucky,2377,"10,765",,
1088,Owsley County,Kentucky,2857,"4,722",,
1089,Pendleton County,Kentucky,2132,"14,604","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1090,Perry County,Kentucky,1482,"28,241",,
1091,Pike County,Kentucky,819,"64,178",,
1092,Powell County,Kentucky,2274,"12,483",,
1093,Pulaski County,Kentucky,824,"63,593","Somerset, KY Micropolitan Statistical Area",
1094,Robertson County,Kentucky,3037,"2,188",,
1095,Rockcastle County,Kentucky,1981,"17,006","Richmond-Berea, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1096,Rowan County,Kentucky,1665,"23,447",,
1097,Russell County,Kentucky,1952,"17,497",,
1098,Scott County,Kentucky,999,"49,057","Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1099,Shelby County,Kentucky,1096,"43,614","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1100,Simpson County,Kentucky,1946,"17,538",,
1101,Spencer County,Kentucky,1958,"17,416","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1102,Taylor County,Kentucky,1617,"24,691","Campbellsville, KY Micropolitan Statistical Area",
1103,Todd County,Kentucky,2264,"12,651",,
1104,Trigg County,Kentucky,2142,"14,447","Clarksville, TN-KY Metropolitan Statistical Area",
1105,Trimble County,Kentucky,2535,"8,787","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1106,Union County,Kentucky,2119,"14,850",,
1107,Warren County,Kentucky,520,"117,110","Bowling Green, KY Metropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
1108,Washington County,Kentucky,2308,"11,833",,
1109,Wayne County,Kentucky,1787,"20,824",,
1110,Webster County,Kentucky,2209,"13,583",,
1111,Whitley County,Kentucky,1288,"35,499","London, KY Micropolitan Statistical Area",
1112,Wolfe County,Kentucky,2662,"7,164",,
1113,Woodford County,Kentucky,1606,"25,077","Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1114,Acadia Parish,Louisiana,841,"61,912","Lafayette, LA Metropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
1115,Allen Parish,Louisiana,1584,"25,539",,
1116,Ascension Parish,Louisiana,533,"112,286","Baton Rouge, LA Metropolitan Statistical Area",
1117,Assumption Parish,Louisiana,1689,"23,026",,
1118,Avoyelles Parish,Louisiana,1138,"41,632",,
1119,Beauregard Parish,Louisiana,1270,"36,281","DeRidder, LA Micropolitan Statistical Area","DeRidder-Fort Polk South, LA Combined Statistical Area"
1120,Bienville Parish,Louisiana,2170,"14,076",,
1121,Bossier Parish,Louisiana,501,"122,197","Shreveport-Bossier City, LA Metropolitan Statistical Area",
1122,Caddo Parish,Louisiana,257,"257,093","Shreveport-Bossier City, LA Metropolitan Statistical Area",
1123,Calcasieu Parish,Louisiana,326,"194,493","Lake Charles, LA Metropolitan Statistical Area",
1124,Caldwell Parish,Louisiana,2443,"10,004",,
1125,Cameron Parish,Louisiana,2708,"6,702","Lake Charles, LA Metropolitan Statistical Area",
1126,Catahoula Parish,Louisiana,2416,"10,292",,
1127,Claiborne Parish,Louisiana,1992,"16,828",,
1128,Concordia Parish,Louisiana,1822,"20,365","Natchez, MS-LA Micropolitan Statistical Area",
1129,De Soto Parish,Louisiana,1531,"26,963","Shreveport-Bossier City, LA Metropolitan Statistical Area",
1130,East Baton Rouge Parish,Louisiana,150,"444,526","Baton Rouge, LA Metropolitan Statistical Area",
1131,East Carroll Parish,Louisiana,2638,"7,526",,
1132,East Feliciana Parish,Louisiana,1840,"20,008","Baton Rouge, LA Metropolitan Statistical Area",
1133,Evangeline Parish,Louisiana,1334,"33,710",,
1134,Franklin Parish,Louisiana,1809,"20,561",,
1135,Grant Parish,Louisiana,1727,"22,068","Alexandria, LA Metropolitan Statistical Area",
1136,Iberia Parish,Louisiana,737,"73,999","Lafayette, LA Metropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
1137,Iberville Parish,Louisiana,1347,"33,228","Baton Rouge, LA Metropolitan Statistical Area",
1138,Jackson Parish,Louisiana,2030,"16,216",,
1139,Jefferson Parish,Louisiana,156,"433,676","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1140,Jefferson Davis Parish,Louisiana,1404,"31,432",,
1141,Lafayette Parish,Louisiana,283,"227,055","Lafayette, LA Metropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
1142,Lafourche Parish,Louisiana,602,"97,029","Houma-Thibodaux, LA Metropolitan Statistical Area",
1143,LaSalle Parish,Louisiana,2113,"14,927",,
1144,Lincoln Parish,Louisiana,1028,"46,953","Ruston, LA Micropolitan Statistical Area","Monroe-Ruston-Bastrop, LA Combined Statistical Area"
1145,Livingston Parish,Louisiana,474,"131,942","Baton Rouge, LA Metropolitan Statistical Area",
1146,Madison Parish,Louisiana,2290,"12,154",,
1147,Morehouse Parish,Louisiana,1510,"27,559","Bastrop, LA Micropolitan Statistical Area","Monroe-Ruston-Bastrop, LA Combined Statistical Area"
1148,Natchitoches Parish,Louisiana,1184,"39,436","Natchitoches, LA Micropolitan Statistical Area",
1149,Orleans Parish,Louisiana,179,"369,250","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1150,Ouachita Parish,Louisiana,405,"155,363","Monroe, LA Metropolitan Statistical Area","Monroe-Ruston-Bastrop, LA Combined Statistical Area"
1151,Plaquemines Parish,Louisiana,1647,"23,921","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1152,Pointe Coupee Parish,Louisiana,1699,"22,726","Baton Rouge, LA Metropolitan Statistical Area",
1153,Rapides Parish,Louisiana,472,"132,373","Alexandria, LA Metropolitan Statistical Area",
1154,Red River Parish,Louisiana,2523,"8,983",,
1155,Richland Parish,Louisiana,1782,"20,921",,
1156,Sabine Parish,Louisiana,1632,"24,325",,
1157,St. Bernard Parish,Louisiana,1137,"41,635","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1158,St. Charles Parish,Louisiana,945,"52,681","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1159,St. Helena Parish,Louisiana,2353,"11,071","Baton Rouge, LA Metropolitan Statistical Area",
1160,St. James Parish,Louisiana,1743,"21,722","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1161,St. John the Baptist Parish,Louisiana,1073,"44,758","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1162,St. Landry Parish,Louisiana,669,"83,662","Opelousas, LA Micropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
1163,St. Martin Parish,Louisiana,943,"52,726","Lafayette, LA Metropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
1164,St. Mary Parish,Louisiana,928,"53,697","Morgan City, LA Micropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
1165,St. Tammany Parish,Louisiana,271,"239,453","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1166,Tangipahoa Parish,Louisiana,495,"123,441","Hammond, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1167,Tensas Parish,Louisiana,2840,"4,954",,
1168,Terrebonne Parish,Louisiana,538,"111,893","Houma-Thibodaux, LA Metropolitan Statistical Area",
1169,Union Parish,Louisiana,1714,"22,419","Monroe, LA Metropolitan Statistical Area","Monroe-Ruston-Bastrop, LA Combined Statistical Area"
1170,Vermilion Parish,Louisiana,878,"58,723","Lafayette, LA Metropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
1171,Vernon Parish,Louisiana,927,"53,869","Fort Polk South, LA Micropolitan Statistical Area","DeRidder-Fort Polk South, LA Combined Statistical Area"
1172,Washington Parish,Louisiana,1036,"46,670","Bogalusa, LA Micropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1173,Webster Parish,Louisiana,1154,"40,940","Shreveport-Bossier City, LA Metropolitan Statistical Area",
1174,West Baton Rouge Parish,Louisiana,1638,"24,106","Baton Rouge, LA Metropolitan Statistical Area",
1175,West Carroll Parish,Louisiana,2327,"11,512",,
1176,West Feliciana Parish,Louisiana,2078,"15,405","Baton Rouge, LA Metropolitan Statistical Area",
1177,Winn Parish,Louisiana,2107,"15,000",,
1178,Androscoggin County,Maine,551,"107,609","Lewiston-Auburn, ME Metropolitan Statistical Area","Portland-Lewiston-South Portland, ME Combined Statistical Area"
1179,Aroostook County,Maine,754,"70,868",,
1180,Cumberland County,Maine,231,"283,921","Portland-South Portland, ME Metropolitan Statistical Area","Portland-Lewiston-South Portland, ME Combined Statistical Area"
1181,Franklin County,Maine,1417,"30,630",,
1182,Hancock County,Maine,916,"54,558",,
1183,Kennebec County,Maine,504,"121,853","Augusta-Waterville, ME Micropolitan Statistical Area",
1184,Knox County,Maine,1177,"39,668",,
1185,Lincoln County,Maine,1324,"34,180",,
1186,Oxford County,Maine,887,"57,481",,
1187,Penobscot County,Maine,411,"153,746","Bangor, ME Metropolitan Statistical Area",
1188,Piscataquis County,Maine,1963,"17,290",,
1189,Sagadahoc County,Maine,1297,"35,191","Portland-South Portland, ME Metropolitan Statistical Area","Portland-Lewiston-South Portland, ME Combined Statistical Area"
1190,Somerset County,Maine,956,"51,910",,
1191,Waldo County,Maine,1201,"38,820",,
1192,Washington County,Maine,1378,"32,462",,
1193,York County,Maine,320,"199,005","Portland-South Portland, ME Metropolitan Statistical Area","Portland-Lewiston-South Portland, ME Combined Statistical Area"
1194,Allegany County,Maryland,736,"74,012","Cumberland, MD-WV Metropolitan Statistical Area",
